temperature,mu_b,mu_s,mu_q,nb,ns,nq,epsilon,pressure,entropy
nan,9.300994234859000e+02,nan,nan,2.720000000000000e-14,nan,nan,2.529870421271000e-11,1.061041068531000e-19,nan
nan,9.363837940047000e+02,nan,nan,1.270000000000000e-13,nan,nan,1.189207382061000e-10,3.632505305205000e-18,nan
nan,9.308643992311000e+02,nan,nan,6.930000000000000e-13,nan,nan,6.450889100802000e-10,1.185869429534000e-16,nan
nan,9.303084180158000e+02,nan,nan,6.295000000000000e-12,nan,nan,5.856285409772000e-09,6.081637748096000e-15,nan
nan,9.303009587092999e+02,nan,nan,1.581000000000000e-11,nan,nan,1.470802714983000e-08,3.100736487330000e-14,nan
nan,9.302548490562000e+02,nan,nan,3.972000000000000e-11,nan,nan,3.694957087564000e-08,1.517288727999000e-13,nan
nan,9.300454296622000e+02,nan,nan,9.976000000000000e-11,nan,nan,9.278061367588000e-08,7.183872175758000e-13,nan
nan,9.302985210094000e+02,nan,nan,2.506000000000000e-10,nan,nan,2.331295226342000e-07,3.286730745225000e-12,nan
nan,9.304782468767000e+02,nan,nan,6.294000000000000e-10,nan,nan,5.856285409772000e-07,1.446760704032000e-11,nan
nan,9.303375079165000e+02,nan,nan,1.581000000000000e-09,nan,nan,1.470802714983000e-06,6.088503307952000e-11,nan
nan,9.304537100458000e+02,nan,nan,3.972000000000000e-09,nan,nan,3.695518034442000e-06,2.441018599426000e-10,nan
nan,9.304521396342000e+02,nan,nan,5.000000000000000e-09,nan,nan,4.651932461996000e-06,3.282361752590000e-10,nan
nan,9.306903047175000e+02,nan,nan,9.975999999999999e-09,nan,nan,9.283670836371999e-06,8.956434902010000e-10,nan
nan,9.308973999003000e+02,nan,nan,1.990000000000000e-08,nan,nan,1.852246592248000e-05,2.392335538634000e-09,nan
nan,9.308808730459000e+02,nan,nan,3.973000000000000e-08,nan,nan,3.697761821955000e-05,6.278866558482000e-09,nan
nan,9.308701381918000e+02,nan,nan,7.926000000000000e-08,nan,nan,7.376451450048000e-05,1.625265260267000e-08,nan
nan,9.316269656464000e+02,nan,nan,1.581000000000000e-07,nan,nan,1.472485555618000e-04,4.166770690301000e-08,nan
nan,9.314288337478000e+02,nan,nan,1.991000000000000e-07,nan,nan,1.853929432883000e-04,5.453751092248000e-08,nan
nan,9.315010844659000e+02,nan,nan,3.156000000000000e-07,nan,nan,2.938800695574000e-04,1.016727000374000e-07,nan
nan,9.317001512311000e+02,nan,nan,5.001000000000000e-07,nan,nan,4.657541930779000e-04,1.890525527400000e-07,nan
nan,9.323509258023000e+02,nan,nan,6.296000000000000e-07,nan,nan,5.867504347338000e-04,2.577081512920000e-07,nan
nan,9.323563131036000e+02,nan,nan,9.667000000000000e-07,nan,nan,9.008806865990000e-04,4.281612782424000e-07,nan
nan,9.323784032162999e+02,nan,nan,1.532000000000000e-06,nan,nan,1.427609805351000e-03,7.939083759830000e-07,nan
nan,9.327384017623000e+02,nan,nan,2.507000000000000e-06,nan,nan,2.336904695125000e-03,1.470478092623000e-06,nan
nan,9.331498703587000e+02,nan,nan,3.974000000000000e-06,nan,nan,3.705615078252000e-03,2.722506553489000e-06,nan
nan,9.334364949841000e+02,nan,nan,4.830000000000000e-06,nan,nan,4.504964379873000e-03,3.533890900012000e-06,nan
nan,9.333958362284000e+02,nan,nan,6.081000000000000e-06,nan,nan,5.671172939923000e-03,4.807140182249000e-06,nan
nan,9.338499787260000e+02,nan,nan,7.930000000000000e-06,nan,nan,7.398889325181000e-03,6.541006116590000e-06,nan
nan,9.343039140246000e+02,nan,nan,9.982000000000000e-06,nan,nan,9.317327649072000e-03,8.894020721508000e-06,nan
nan,9.340887107458000e+02,nan,nan,1.257000000000000e-05,nan,nan,1.172939922589000e-02,1.209586818125000e-05,nan
nan,9.345865110049000e+02,nan,nan,1.522000000000000e-05,nan,nan,1.420878442811000e-02,1.562226937960000e-05,nan
nan,9.350394175642000e+02,nan,nan,1.991000000000000e-05,nan,nan,1.859538901666000e-02,2.124578704282000e-05,nan
nan,9.350940560133999e+02,nan,nan,2.507000000000000e-05,nan,nan,2.341392270152000e-02,2.888528273624000e-05,nan
nan,9.361786625086000e+02,nan,nan,2.791000000000000e-05,nan,nan,2.609524877994000e-02,3.349769067532000e-05,nan
nan,9.365034596448000e+02,nan,nan,3.807000000000000e-05,nan,nan,3.560329836764000e-02,4.938834103108000e-05,nan
nan,9.369286033510000e+02,nan,nan,5.063000000000000e-05,nan,nan,4.736635440624000e-02,7.034078142554001e-05,nan
nan,9.375240466039000e+02,nan,nan,6.592000000000001e-05,nan,nan,6.170415661637000e-02,9.742853576333000e-05,nan
nan,9.381353252180000e+02,nan,nan,8.433000000000000e-05,nan,nan,7.898132046895000e-02,1.316315066783000e-04,nan
nan,9.386639527255001e+02,nan,nan,1.062000000000000e-04,nan,nan,9.951197621585001e-02,1.741355636000000e-04,nan
nan,9.388889284776000e+02,nan,nan,1.321000000000000e-04,nan,nan,1.238009760476000e-01,2.262514043191000e-04,nan
nan,9.392258159209000e+02,nan,nan,1.624000000000000e-04,nan,nan,1.522409827789000e-01,2.892897266259000e-04,nan
nan,9.394719741506000e+02,nan,nan,1.690000000000000e-04,nan,nan,1.584674931284000e-01,3.032705030583000e-04,nan
nan,9.393761094400001e+02,nan,nan,1.759000000000000e-04,nan,nan,1.649183822292000e-01,3.178754212957000e-04,nan
nan,9.391829105590000e+02,nan,nan,1.830000000000000e-04,nan,nan,1.715375553935000e-01,3.329172387967000e-04,nan
nan,9.396931024872000e+02,nan,nan,1.902000000000000e-04,nan,nan,1.783811073091000e-01,3.485207839221000e-04,nan
nan,9.395934716487000e+02,nan,nan,1.977000000000000e-04,nan,nan,1.853929432883000e-01,3.646860566721000e-04,nan
nan,9.396808483321000e+02,nan,nan,2.054000000000000e-04,nan,nan,1.926291580187000e-01,3.812882286856000e-04,nan
nan,9.397398537003000e+02,nan,nan,2.079000000000000e-04,nan,nan,1.949851349077000e-01,3.867806765697000e-04,nan
nan,9.397361939455000e+02,nan,nan,2.082000000000000e-04,nan,nan,1.952656083469000e-01,3.874672325552000e-04,nan
nan,9.394492496814000e+02,nan,nan,2.091000000000000e-04,nan,nan,1.960509339766000e-01,3.879041318187000e-04,nan
nan,9.398647194374000e+02,nan,nan,2.160000000000000e-04,nan,nan,2.026140124530000e-01,3.967669454500000e-04,nan
nan,9.396543278207000e+02,nan,nan,2.231000000000000e-04,nan,nan,2.092331856173000e-01,4.036949194857000e-04,nan
nan,9.399252107169000e+02,nan,nan,2.311000000000000e-04,nan,nan,2.168059684748000e-01,4.107477218824000e-04,nan
nan,9.400018381797000e+02,nan,nan,2.401000000000000e-04,nan,nan,2.252762663376000e-01,4.181750093621000e-04,nan
nan,9.396065883831000e+02,nan,nan,2.500000000000000e-04,nan,nan,2.344757951422000e-01,4.258519535638000e-04,nan
nan,9.397469066014000e+02,nan,nan,2.643000000000000e-04,nan,nan,2.479385202221000e-01,4.365871926102000e-04,nan
nan,9.400516690182000e+02,nan,nan,3.053000000000000e-04,nan,nan,2.865316654513000e-01,4.661090999875000e-04,nan
nan,9.400850385671999e+02,nan,nan,3.533000000000000e-04,nan,nan,3.316317944691000e-01,5.002496567220001e-04,nan
nan,9.401802467454000e+02,nan,nan,4.076000000000000e-04,nan,nan,3.826779603972000e-01,5.395081762576001e-04,nan
nan,9.402359361388000e+02,nan,nan,4.680000000000000e-04,nan,nan,4.394457844842000e-01,5.846336287605000e-04,nan
nan,9.404433510399000e+02,nan,nan,5.341000000000000e-04,nan,nan,5.016547932911000e-01,6.360004993134000e-04,nan
nan,9.408413126499000e+02,nan,nan,6.059000000000000e-04,nan,nan,5.693610815056001e-01,6.946698289851000e-04,nan
nan,9.405160194381000e+02,nan,nan,7.661000000000000e-04,nan,nan,7.196948448982000e-01,8.344775933092000e-04,nan
nan,9.407184836614000e+02,nan,nan,1.262000000000000e-03,nan,nan,1.185841700791000e+00,1.345025589814000e-03,nan
nan,9.415657870302000e+02,nan,nan,1.895000000000000e-03,nan,nan,1.782128232456000e+00,2.138933965797000e-03,nan
nan,9.420175213561999e+02,nan,nan,2.673000000000000e-03,nan,nan,2.514724855556000e+00,3.287979028835000e-03,nan
nan,9.426391066484000e+02,nan,nan,3.606000000000000e-03,nan,nan,3.394289560779000e+00,4.867057795531000e-03,nan
nan,9.430584291312000e+02,nan,nan,4.710000000000000e-03,nan,nan,4.434846020082000e+00,6.959181125952000e-03,nan
nan,9.438846745583000e+02,nan,nan,7.496000000000000e-03,nan,nan,7.062321198183000e+00,1.303832230683000e-02,nan
nan,9.445883475423000e+02,nan,nan,1.120000000000000e-02,nan,nan,1.055702025018000e+01,2.236924229185000e-02,nan
nan,9.460404233780000e+02,nan,nan,1.600000000000000e-02,nan,nan,1.510068996466000e+01,3.595680938709000e-02,nan
nan,9.472313023746000e+02,nan,nan,2.207000000000000e-02,nan,nan,2.085039546755000e+01,5.499937585819000e-02,nan
nan,9.480551994306001e+02,nan,nan,2.948000000000000e-02,nan,nan,2.786784091547000e+01,8.082636374983999e-02,nan
nan,9.497266550051000e+02,nan,nan,4.268000000000000e-02,nan,nan,4.039939417737000e+01,1.349394582449000e-01,nan
nan,9.516981393077000e+02,nan,nan,6.220000000000000e-02,nan,nan,5.895551691255000e+01,2.401073523905000e-01,nan
